Order_ID,Order_Date,Product_Category,Product_Name,Supplier,Region,Inventory_Level,Order_Status,Quantity,Shipping_Cost,Lead_Time
1001,2025-01-05,Electronics,Laptop,Dell,South,120,Delivered,15,2500,5
1002,2025-01-08,Furniture,Chair,Ikea,West,80,Delivered,20,1200,7
1003,2025-01-12,Electronics,Mobile,Samsung,North,200,Pending,35,1800,4
1004,2025-01-15,Clothing,Jacket,Nike,East,150,Delivered,40,900,6
1005,2025-01-20,Furniture,Table,Ikea,South,60,Delayed,10,2000,12
1006,2025-02-01,Electronics,Tablet,Apple,West,90,Delivered,25,1500,5
1007,2025-02-05,Clothing,Shoes,Adidas,North,170,Delivered,50,700,4
1008,2025-02-10,Furniture,Sofa,Ikea,East,45,Delayed,8,3000,15
1009,2025-02-15,Electronics,Headphones,Sony,South,300,Delivered,60,500,3
1010,2025-02-20,Clothing,Tshirt,Nike,West,220,Pending,70,400,8
1011,2025-03-02,Electronics,Camera,Canon,North,75,Delivered,12,2200,6
1012,2025-03-10,Furniture,Bed,Ikea,South,40,Delayed,5,3500,18
1013,2025-03-15,Electronics,Monitor,Dell,East,110,Delivered,20,1300,5
1014,2025-03-20,Clothing,Jeans,Levis,West,180,Delivered,45,600,4
1015,2025-03-25,Furniture,Cabinet,Ikea,North,70,Pending,15,1700,10
